Year,Case Vehicle ID,Vehicle Body Type,Registration Class,Action Prior to Accident,Type / Axles of Truck or Bus,Direction of Travel,Fuel Type,Vehicle Year,State of Registration,Number of Occupants,Engine Cylinders,Vehicle Make,Contributing Factor 1,Contributing Factor 1 Description,Contributing Factor 2,Contributing Factor 2 Description,Event Type,Partial VIN
2013,11395783,TRACTOR,Not Entered,Making Right Turn,Not Entered,North,Not Entered,2003,PA,1,,KW,HUMAN,Unknown,HUMAN,Not Applicable,Not Applicable,1XKWD89X23J
2013,11457986,SUBURBAN,Not Entered,Going Straight Ahead,Not Entered,North,Not Entered,2004,CT,1,,FORD,HUMAN,Alcohol Involvement,HUMAN,Fell Asleep,Not Applicable,
2013,10950672,SUBURBAN,Not Entered,Going Straight Ahead,Not Entered,South,Not Entered,2012,NJ,1,,LEXS,HUMAN,Failure to Yield Right-of-Way,HUMAN,Not Applicable,Not Applicable,JTJBM7FX8C5
2013,11179199,4 DOOR SEDAN,Not Entered,Making Left Turn,Not Entered,Northwest,Not Entered,2010,FL,1,,FORD,HUMAN,Turning Improperly,HUMAN,Not Applicable,Not Applicable,
2013,11299375,4 DOOR SEDAN,Not Entered,Making Left Turn,Not Entered,West,Not Entered,2004,PA,1,,PONT,HUMAN,Failure to Yield Right-of-Way,HUMAN,Not Applicable,Not Applicable,
2013,11572398,4 DOOR SEDAN,Not Entered,Going Straight Ahead,Not Entered,South,Not Entered,2013,MD,1,,FORD,HUMAN,Following Too Closely,HUMAN,Not Applicable,Not Applicable,
2013,11495022,4 DOOR SEDAN,Not Entered,Going Straight Ahead,Not Entered,South,Not Entered,2000,CT,1,,TOYT,HUMAN,Following Too Closely,HUMAN,Not Applicable,Not Applicable,4T1BF22K3YU
2013,11783575,4 DOOR SEDAN,Not Entered,Going Straight Ahead,Not Entered,South,Not Entered,2010,NY,1,,HONDA,HUMAN,Following Too Closely,HUMAN,Not Applicable,Not Applicable,
2013,11132317,SUBURBAN,Not Entered,Going Straight Ahead,Not Entered,East,Not Entered,2006,MA,5,,FORD,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,1FMFU18526L
2013,10920491,4 DOOR SEDAN,Not Entered,Going Straight Ahead,Not Entered,North,Not Entered,2007,NY,1,,TOYT,ENVMT,Pavement Slippery,HUMAN,Not Applicable,Not Applicable,
2013,11549669,4 DOOR SEDAN,Not Entered,Going Straight Ahead,Not Entered,North,Not Entered,2005,PA,1,,TOYT,HUMAN,Traffic Control Device Disregarded,HUMAN,Not Applicable,"Overturned, Non-Collision",2T1BR32E35C
2013,10861000,VAN TRUCK,Not Entered,Going Straight Ahead,Not Entered,West,Not Entered,2003,PA,1,,INTE,ENVMT,Pavement Slippery,ENVMT,View Obstructed/Limited,"Other Motor Vehicle, Collision With",4KAMGABMX3A
2012,10459509,MOTORCYCLE,CLASS B LIMITED USE MOTORCYCLE,Making Right Turn,Not Entered,Northeast,Gas,2005,NY,1,1,HONDA,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,JH2AF60415K
2013,10800352,4 DOOR SEDAN,Not Entered,Going Straight Ahead,Not Entered,South,Not Entered,2011,ME,1,,CADI,HUMAN,Prescription Medication,HUMAN,Unsafe Lane Changing,Not Applicable,
2012,10194609,PICKUP TRUCK,POLITICAL SUBDIVISION,Stopped in Traffic,Not Entered,East,Gas,2008,NY,2,10,FORD,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,1FTWX31Y28E
2013,11481774,4 DOOR SEDAN,Not Entered,Going Straight Ahead,Not Entered,West,Not Entered,2008,GA,1,,LEXS,HUMAN,Driver Inattention/Distraction*,HUMAN,Not Applicable,Not Entered,JTHBE96S380
2013,11023684,4 DOOR SEDAN,Not Entered,Going Straight Ahead,Not Entered,North,Not Entered,2005,NY,1,,TOYT,ENVMT,Pavement Slippery,HUMAN,Unsafe Speed,"Tree, Collision With Fixed Object",
2013,11595087,4 DOOR SEDAN,Not Entered,Slowing or Stopping,Not Entered,West,Not Entered,2010,NJ,2,,TOYT,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,4T1BB3EK4AU
2013,11572845,4 DOOR SEDAN,Not Entered,Stopped in Traffic,Not Entered,South,Not Entered,2012,VA,1,,NISS,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Entered,
2013,11336198,4 DOOR SEDAN,Not Entered,Going Straight Ahead,Not Entered,North,Not Entered,1994,NJ,1,,HOND,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,
2013,11343055,PICKUP TRUCK,Not Entered,Going Straight Ahead,Not Entered,North,Not Entered,2006,NY,1,,FORD,HUMAN,Not Applicable,ENVMT,Animal's Action,Not Applicable,
2013,11582492,SUBURBAN,Not Entered,Going Straight Ahead,Not Entered,West,Not Entered,2001,NJ,1,,SUBA,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,
2013,11502543,TRACTOR,Not Entered,Going Straight Ahead,Not Entered,West,Not Entered,2007,IA,1,,FRHT,HUMAN,Traffic Control Device Disregarded,HUMAN,Not Applicable,Not Applicable,1FUJBBAV27L
2013,11544573,4 DOOR SEDAN,Not Entered,Slowing or Stopping,Not Entered,West,Not Entered,2009,NY,1,,HOND,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,
2013,11153609,4 DOOR SEDAN,Not Entered,Going Straight Ahead,Not Entered,East,Not Entered,2004,SC,1,,FORD,HUMAN,Following Too Closely,HUMAN,Not Applicable,Not Applicable,1FMZU63K44U
2013,11395761,TRACTOR,Not Entered,Going Straight Ahead,Not Entered,North,Not Entered,2005,IN,1,,FRHT,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,
2013,11389103,SUBURBAN,Not Entered,Parked,Not Entered,North,Not Entered,2003,GA,1,,FORD,VEHICLE,Other*,HUMAN,Not Applicable,Not Applicable,1FMPU17L93L
2013,11280549,SUBURBAN,Not Entered,Stopped in Traffic,Not Entered,South,Not Entered,1994,FL,2,,JEEP,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Entered,
2013,10945793,2 DOOR SEDAN,Not Entered,Going Straight Ahead,Not Entered,West,Not Entered,2009,GA,1,,SCIO,HUMAN,Following Too Closely,HUMAN,Not Applicable,Not Applicable,
2013,11335010,MOTORCYCLE,MOTORCYCLE,Going Straight Ahead,Not Entered,East,Gas,2006,NY,2,1,KAWAS,HUMAN,Not Applicable,HUMAN,Not Applicable,Not Applicable,JKBVNME156A
2013,11169713,4 DOOR SEDAN,Not Entered,Going Straight Ahead,Not Entered,South,Not Entered,1997,NY,1,,TOYT,HUMAN,Driver Inattention/Distraction*,HUMAN,Following Too Closely,Not Applicable,4T1BG22K7VU
